,cluster
27131,0
266857,0
141228,0
288329,1
97334,5
135931,3
290630,3
141944,6
244517,0
215903,3
282552,0
254237,5
183617,2
79761,5
213925,2
233936,6
98502,2
96776,1
228194,7
27896,0
100832,4
242790,5
151132,7
270236,6
208084,1
7707,4
284144,2
142308,6
402,3
110445,8
216833,1
216694,1
10932,3
29970,8
154647,5
77065,6
265580,5
171855,1
284403,7
75131,4
14176,5
87277,1
29163,3
66864,7
227316,5
95370,8
172823,5
185140,7
71716,8
137722,1
246352,5
18110,0
172088,1
188544,8
151614,4
127692,3
11751,8
166800,1
198586,8
279839,0
105830,5
181043,3
70952,3
37906,5
21039,3
244496,0
280111,6
142590,3
271709,7
75853,4
165919,3
83482,6
211622,6
241932,8
95307,8
60605,0
19809,6
199463,1
81536,7
1708,8
83578,6
21615,8
191048,2
153691,1
268308,1
282175,4
295417,0
248651,3
32923,7
208632,5
295306,4
253583,1
268650,5
21031,3
203616,1
48518,2
40489,7
190565,2
137474,1
126939,6
183238,5
80334,5
57261,2
18335,0
297920,6
119497,6
120602,8
40440,7
17775,4
296064,3
3762,5
108967,6
110819,8
251571,4
54308,8
41823,0
88102,5
66360,2
23057,1
192426,4
252651,6
37752,1
113859,4
250926,2
225706,8
132417,7
248530,6
277564,3
84208,3
201546,4
193144,0
126783,6
38017,5
236749,7
227521,2
118038,7
68836,0
212731,8
194974,1
8639,0
41932,0
149449,1
94772,3
216692,1
31954,2
198020,3
221594,6
43447,3
221192,4
277214,6
264835,1
35675,3
205966,0
209484,2
218245,4
158709,3
76103,0
134984,6
297810,0
128004,3
207499,8
23504,5
80402,5
4891,2
71670,8
95421,8
103041,3
130253,5
45069,1
168750,7
274826,3
30679,1
159119,3
172128,1
175757,6
245640,8
273426,5
266730,0
79653,5
225980,8
24899,2
96471,1
126947,6
22148,1
136115,3
97973,5
187562,3
17120,4
144471,5
73314,5
72938,5
57675,2
295261,4
26367,4
111246,1
158137,6
183252,5
159489,8
193432,6
136161,3
140598,4
144797,5
159543,8
217560,2
66084,2
299474,4
213742,5
4168,5
189504,1
124413,7
275158,8
130296,5
58521,7
7705,4
134990,6
217448,2
106502,2
231919,5
187876,3
260962,0
218916,6
284526,7
58769,7
44890,8
63504,1
38058,5
182976,5
82949,0
13009,1
256497,8
16100,7
96658,1
34440,0
152354,6
158062,6
289216,7
229118,0
118444,4
286094,5
88573,5
102558,6
92269,0
257868,7
95635,8
242529,1
209670,2
194213,3
297776,0
12384,1
282298,4
236878,4
149972,5
263767,6
112092,5
1582,8
262900,7
277504,3
219807,1
145820,7
299205,2
163131,7
118001,7
38136,5
276811,0
21854,8
95613,8
96210,1
25956,7
33270,4
283742,1
164949,6
210739,4
67394,7
261918,1
208688,5
87488,5
296762,5
270382,3
33343,4
268680,5
255066,4
169489,4
181178,8
177288,1
165382,6
248441,6
100132,4
68559,0
119302,6
159633,8
92202,0
61498,6
144188,1
68707,0
129573,1
82572,4
92575,0
50334,4
31372,5
278509,5
293676,3
42459,6
115006,6
159716,8
3407,5
278766,2
92322,0
205289,7
243981,4
211816,6
122995,5
129276,1
3550,5
65991,2
92428,0
101802,0
3690,5
176308,6
212995,1
81760,7
25889,7
51738,0
277441,3
139306,2
29448,3
138008,5
282008,7
147191,0
157299,0
290573,3
177753,5
84060,6
